N°|Nº Expediente|Número de Decreto|Especialista|Contenido|RUC|Razon Social|Fecha de Creación|Hora de Creación|Fecha del Decreto|Fecha De Aprobacion|Hora De Aprobacion|Estado|Ver Decreto|
1|01556-2019-TCE|533046|Ghenrry Leonardo Llatas Padilla|Sobrecártese|Entidad:20100004675POSTOR:20409298436,20409401032,20483995254,20558030560|Entidad:CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC POSTOR:NEO EXPLOIT TRADER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,P & P CATERING SERVICE CONTRATISTAS GENERALES S.R.L.,EMPRESA DE TRANSPORTES RAFAEL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,CORPORACION PERU CRECE S.A.C.|02/01/2024|20:30:10|02/01/2024|||PENDIENTE|533046 Ver...|
2|02710-2022-TCE|533053|Jackelin Roxana Cardenas Vega|Acumulación a otro expediente|Entidad:20489250731POSTOR:20528924493|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL POSTOR:CONSORCIO AMAZONIA: INVERSIONES AJM EIRL,PEÑA CERVANTES INGENIEROS SRL,INVERSIONES PACCHIONI E INGENIEROS CONTRATISTAS S|03/01/2024|09:07:33|03/01/2024|||PENDIENTE|533053 Ver...|
3|02267-2022-TCE|533247|Apoyo Tribunal 34|Remisión a sala - Descargos|Entidad:20262221335POSTOR:20100687462|Entidad:EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A. POSTOR:VAINSTEIN & INGENIEROS S.A.|03/01/2024|22:04:32|03/01/2024|||PENDIENTE|533247 Ver...|
4|11858-2023-TCE|533286|Lita Tumi Carpio|Tómese conocimiento|Entidad:20125645039Impugnate:20516935317|Entidad:PATRONATO DEL PARQUE DE LAS LEYENDAS - FELIPE BENAVIDES BARREDA Impugnate:GLOBAL SERVICIO INTEGRAL MEDICO SOCIEDAD ANONIMA|04/01/2024|11:55:56|04/01/2024|||PENDIENTE|533286 Ver...|
5|02946-2020-TCE|533375|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20602467971POSTOR:20602093299|Entidad:POLICÍA NACIONAL DEL PERÚ - REGIÓN AYACUCHO - ICA POSTOR:INVERSIONES CARSOL PERU S.A.C.|04/01/2024|15:31:31|04/01/2024|||PENDIENTE|533375 Ver...|
6|00419-2023-TCE|533394|Carla Pinedo Prentice|Ampliación de cargos|Entidad:20503503639POSTOR:20547520590,20601873223|Entidad:MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL) POSTOR:CONSORCIO SANTORIN: KEROMASA CONTRATISTAS GENERALES S.A.C. - KEROMASA S.A.C.,CONSORCIO SANTORIN: GRUPO INNOVA SERVICE S.A.C. - GRINSER S.A.C.|04/01/2024|16:36:01|04/01/2024|||PENDIENTE|533394 Ver...|
7|01032-2019-TCE|533527|Jackelin Roxana Cardenas Vega|Tómese conocimiento|Entidad:20537630222POSTOR:L0000004198|Entidad:MINISTERIO DE CULTURA POSTOR:JAM PRODUCTIONS INTERNATIONAL|05/01/2024|17:43:38|05/01/2024|||PENDIENTE|533527 Ver...|
8|02710-2022-TCE|533576|Jackelin Roxana Cardenas Vega|Acumulación a otro expediente|Entidad:20489250731POSTOR:20528924493|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL POSTOR:CONSORCIO AMAZONIA: INVERSIONES AJM EIRL,PEÑA CERVANTES INGENIEROS SRL,INVERSIONES PACCHIONI E INGENIEROS CONTRATISTAS S|08/01/2024|10:00:57|08/01/2024|||PENDIENTE|533576 Ver...|
9|04903-2019-TCE|533615|Carmen Edith Pacotaype Paredes|Remisión a sala - Apercibimiento|Entidad:20527141762POSTOR:20224159642|Entidad:GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL POSTOR:DISTRIBUCIONES CONDORITO S R LTDA|08/01/2024|12:52:23|08/01/2024|||PENDIENTE|533615 Ver...|
10|01019-2019-TCE|533640|Jackelin Roxana Cardenas Vega|Previamente|Entidad:22222222222POSTOR:20482736450|Entidad:MUNICIPALIDAD DISTRITAL DE PATAZ POSTOR:EMDERSOFT S.A.C.|08/01/2024|14:55:34|08/01/2024|||PENDIENTE|533640 Ver...|
11|04441-2019-TCE|533659|Carla Pinedo Prentice|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20550734223POSTOR:20602885543|Entidad:CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE POSTOR:APOYO POSTAL S.A.C.|08/01/2024|16:09:55|08/01/2024|||PENDIENTE|533659 Ver...|
12|04472-2019-TCE|533723|Richard Vitalio Sosa Meza|Remisión a sala|Entidad:20481772550POSTOR:20600059603|Entidad:IIII DIRECCION TERRITORIAL DE POLICIA - TRUJILLO POSTOR:CONTRATISTAS Y SERVICIOS FAVEHI S.A.C.|09/01/2024|12:41:27|09/01/2024|||PENDIENTE|533723 Ver...|
13|00387-2023-TCE|533730|Richard Vitalio Sosa Meza|Remisión a sala - Apercibimiento|Entidad:20115425651POSTOR:10455655795|Entidad:EPS EMUSAP ABANCAY S.A. POSTOR:SALAZAR ORDOÑEZ JOSE MIGUEL|09/01/2024|12:47:47|09/01/2024|||PENDIENTE|533730 Ver...|
14|00045-2023-TCE|533734|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20146657142POSTOR:20393688468,20605440909|Entidad:MUNICIPALIDAD DISTRITAL DE SAN RAMON POSTOR:CANAAN INGENIERIA Y CONSTRUCCION S.A.C.,DTE CONTRATISTAS GENERALES E.I.R.L.|09/01/2024|13:07:19|09/01/2024|||PENDIENTE|533734 Ver...|
15|00045-2023-TCE|533745|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20146657142POSTOR:20393688468,20605440909|Entidad:MUNICIPALIDAD DISTRITAL DE SAN RAMON POSTOR:CANAAN INGENIERIA Y CONSTRUCCION S.A.C.,DTE CONTRATISTAS GENERALES E.I.R.L.|09/01/2024|13:39:28|09/01/2024|||PENDIENTE|533745 Ver...|
16|00397-2023-TCE|533746|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20115425651POSTOR:20604262918|Entidad:EPS EMUSAP ABANCAY S.A. POSTOR:INVERSIONES MARBELLA CONSULTORIA Y CONSTRUCCION EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|09/01/2024|13:45:33|09/01/2024|||PENDIENTE|533746 Ver...|
17|00440-2023-TCE|533747|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20131312955POSTOR:20450264262,20600805836|Entidad:SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT POSTOR:INTERNATIONAL CONTINENTAL SERVICE SOCIEDAD ANONIMA CERRADA,PRESTIGE SERVICE SOCIEDAD ANÓNIMA - PRESTIGE SERVICE S.A.|09/01/2024|13:52:36|09/01/2024|||PENDIENTE|533747 Ver...|
18|00461-2023-TCE|533749|Richard Vitalio Sosa Meza|Tómese conocimiento|Entidad:20254165035POSTOR:20556597619|Entidad:OFICINA DE NORMALIZACION PREVISIONAL ONP POSTOR:REALIZACIONES Y PRODUCCIONES PRISMA E.I.R.L.|09/01/2024|14:02:17|09/01/2024|||PENDIENTE|533749 Ver...|
19|00332-2019-TCE|533893|Debora Dafne Basurco Chavez|Archivamiento de expedientes antes del Pase a Sala|Entidad:20537630222POSTOR:20513158808|Entidad:MINISTERIO DE CULTURA POSTOR:CORREOS DEL PERU S.A.|10/01/2024|10:05:00|10/01/2024|||PENDIENTE|533893 Ver...|
20|01109-2019-TCE|533955|Jackelin Roxana Cardenas Vega|Archivamiento de expedientes antes del Pase a Sala|Entidad:20165979967POSTOR:10092258284|Entidad:MUNICIPALIDAD PROVINCIAL DE REQUENA POSTOR:CONSORCIO SUPERVISOR LOS CEDROS: PORTILLO JANGE ANGEL - REBAZA HUERTO JORGE LUIS ALEJANDRO|10/01/2024|14:55:52|10/01/2024|||PENDIENTE|533955 Ver...|
21|01237-2019-TCE|533957|Jackelin Roxana Cardenas Vega|Archivamiento de expedientes antes del Pase a Sala|Entidad:11111111111POSTOR:20570560451|Entidad:MUNICIPALIDAD PROVINCIAL DE SULLANA POSTOR:SEGYR SOCIEDAD ANONIMA CERRADA - SEGYR S.A.C.|10/01/2024|14:59:35|10/01/2024|||PENDIENTE|533957 Ver...|
22|06580-2022-TCE|533964|Carla Pinedo Prentice|Audiencia pública|Entidad:20381159281POSTOR:20360672418,20601338361|Entidad:INPE-OFICINA GENERAL DE INFRAESTRUCTURA POSTOR:R & S ASOCIADOS S.R.L.,CORPORACION DE INFRAESTRUCTURA S.A.C.|10/01/2024|15:21:04|10/01/2024|||PENDIENTE|533964 Ver...|
23|02495-2022-TCE|533965|Carla Pinedo Prentice|Audiencia pública|Entidad:20600927818POSTOR:20523907451|Entidad:CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS POSTOR:CORPORATION TECH IMPORT INC. S.A.|10/01/2024|15:22:05|10/01/2024|||PENDIENTE|533965 Ver...|
24|03486-2021-TCE|533988|Jackelin Roxana Cardenas Vega|Archivamiento de expedientes antes del Pase a Sala|Entidad:20131370301POSTOR:20494108918|Entidad:MINISTERIO PUBLICO-GERENCIA GENERAL POSTOR:BLACK & WHITE CORPORATION S.R.L.|10/01/2024|16:21:54|10/01/2024|||PENDIENTE|533988 Ver...|
25|00037-2024-TCE|534067|Lita Tumi Carpio|Tómese conocimiento|Entidad:20406325815Impugnate:20600571592|Entidad:GOBIERNO REGIONAL DE PUNO SEDE CENTRAL Impugnate:SOLUCIONES & SERVICIOS SONDOR E.I.R.L.|10/01/2024|21:23:14|10/01/2024|||PENDIENTE|534067 Ver...|
26|06958-2022-TCE|534084|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20205028600POSTOR:20517279677|Entidad:MUNICIPALIDAD DISTRITAL DE COYLLURQUI POSTOR:PROSYNERGY|11/01/2024|09:44:13|11/01/2024|||PENDIENTE|534084 Ver...|
